image,category,pred1,pred2,diff,lon,lat
Binh Minh Town-961.jpeg,0,0.5492476,0.6981601,0.1489125,10.085450010004697N,105.82416236342675E
Thanh Liêm District-603.jpeg,0,0.57912904,0.72761667,0.14848762999999998,20.434275744315205N,105.86717922561017E
Phu Ly City-651.jpeg,0,0.7931779,0.94117826,0.14800036000000005,20.55319441082771N,105.8897883156018E
Binh Minh Town-183.jpeg,0,0.5706288,0.71814406,0.14751525999999993,10.012686804809675N,105.84058377109918E
Cao Lanh City-822.jpeg,0,0.80604357,0.9520144,0.14597083,10.467528207239239N,105.63312968269555E
Cai Lậy Town-991.jpeg,0,0.8074284,0.9506861,0.14325769999999993,10.435622308954873N,106.18956475430575E
Mỹ Tho-372.jpeg,0,0.86380684,0.7212933,0.14251353999999994,10.355659805482505N,106.36562412803248E
Tam Điệp-161.jpeg,0,0.7723456,0.9141111,0.1417655,20.125085340768482N,105.90674496022807E
Binh Minh Town-841.jpeg,0,0.8222328,0.9637533,0.14152050000000005,10.071975342375989N,105.82963616598421E
Tam Điệp-271.jpeg,0,0.8090443,0.9489659,0.13992159999999998,20.13317014134594N,105.90100330654563E
Duy Tiên District-441.jpeg,0,0.8718993,0.734296,0.1376033000000001,20.62139364379928N,105.99072823134907E
Thái Bình-67.jpeg,0,0.8148615,0.95218575,0.13732425000000004,20.42038330733631N,106.32632120285044E
Phu Ly City-509.jpeg,0,0.7631332,0.62713134,0.13600185999999992,20.54241467672441N,105.91568994680544E
Hung Yen City-222.jpeg,0,0.8979192,0.76388526,0.13403394000000002,20.63139240797777N,106.04320252430756E
Go Cong Town-186.jpeg,0,0.8232397,0.9536759,0.1304362,10.363050204909696N,106.65393223655084E
Ninh Bình-393.jpeg,0,0.7236242,0.8534313,0.12980709999999995,20.255002143108964N,105.95434624853E
Phu Ly City-535.jpeg,0,0.8815384,0.7523014,0.12923700000000005,20.545109610250236N,105.8782764795113E
Hung Yen City-236.jpeg,0,0.8313011,0.96052545,0.12922435,20.63139240797777N,106.0835246235895E
Yên Mỹ District-497.jpeg,0,0.84007615,0.96657336,0.12649721000000003,20.885529276257937N,106.07964603106781E
