Unnamed: 0,image,pred,lon,lat,found_Anditi
163,Go Cong Town-2334.jpeg,0.9666825830936432,106.62516193326519N,10.404821674558763E,[]
164,Tam Điệp-2494.jpeg,0.9666618779301644,105.87229503813344N,20.15742454307825E,['886.jpeg']
165,Long Hồ District-1248.jpeg,0.9665820747613908,105.91673263947999N,10.16072763808944E,['34.jpeg']
166,Thanh Liêm District-4933.jpeg,0.9665568172931672,105.94339623991378N,20.46930988015077E,['401.jpeg']
167,Tam Điệp-1836.jpeg,0.9664858430624008,105.92253450785479N,20.146644808974987E,['897.jpeg']
168,Hoa Lư District-232.jpeg,0.9664761200547218,105.94496277429069N,20.192601907264667E,['426.jpeg']
171,Cai Lậy Town-4086.jpeg,0.9663690775632858,106.17449381797637N,10.43831724248067E,[]
174,Tam Điệp-2689.jpeg,0.9663051515817642,105.87085962471284N,20.16011947660407E,['429.jpeg']
175,Trà Vinh City-595.jpeg,0.9662747979164124,106.34407809649787N,9.912234771256085E,[]
176,Hiệp Hòa District-4017.jpeg,0.9662688598036766,105.90227351799868N,21.313341879268368E,[]
177,Trà Vinh City-1129.jpeg,0.9662657603621484,106.33997394682622N,9.933794239462024E,"['735.jpeg', '758.jpeg', '733.jpeg']"
178,Go Cong Town-2066.jpeg,0.9662260189652444,106.62927197659172N,10.398084340744397E,[]
179,Trà Vinh City-1356.jpeg,0.9662085250020028,106.34818224616954N,9.945921440327869E,[]
180,Phu Ly City-2032.jpeg,0.9661949574947356,105.90273913120375N,20.542414676724338E,"['350.jpeg', '351.jpeg']"
181,Hiệp Hòa District-4725.jpeg,0.966173030436039,106.0078719989256N,21.32277414660878E,[]
182,Go Cong Town-2336.jpeg,0.966170847415924,106.62790196214955N,10.404821674558763E,[]
183,Chau Doc City-3519.jpeg,0.9660687074065208,105.10013663778491N,10.690395141977882E,['463.jpeg']
184,Tây Ninh City-800.jpeg,0.9660205096006392,106.09076737156332N,11.320525705184215E,"['990.jpeg', '985.jpeg']"
185,Cao Lanh City-2252.jpeg,0.9660155922174454,105.65368325070345N,10.44596873903332E,"['953.jpeg', '952.jpeg']"
186,Thanh Liêm District-5473.jpeg,0.965965822339058,105.8973784199569N,20.47739468072824E,['383.jpeg']
188,Tam Điệp-2619.jpeg,0.9658829569816588,105.91248661391052N,20.158772009841154E,"['898.jpeg', '887.jpeg']"
189,Go Cong Town-4481.jpeg,0.9658572673797609,106.65256222210868N,10.447940610970683E,[]
190,Go Cong Town-2276.jpeg,0.96584103256464,106.6964026842582N,10.402126741033015E,[]
191,Thái Bình-1392.jpeg,0.9658244028687476,106.3478931334579N,20.447332642594482E,"['439.jpeg', '440.jpeg']"
192,Thái Bình-2530.jpeg,0.9658156111836432,106.3780938363084N,20.472934511089775E,"['458.jpeg', '859.jpeg']"
193,Go Cong Town-1819.jpeg,0.9658153355121613,106.64160210657127N,10.391347006930033E,['604.jpeg']
194,Hiệp Hòa District-3046.jpeg,0.965809002518654,105.93265116319684N,21.2985197448763E,['156.jpeg']
195,Thái Bình-2487.jpeg,0.9657708406448364,106.31625430190032N,20.472934511089775E,[]
196,Thái Bình-761.jpeg,0.9657305628061296,106.31481617319312N,20.435205441728296E,['430.jpeg']
199,Hiệp Hòa District-756.jpeg,0.9654735624790192,105.95000981759576N,21.25540080846303E,[]
200,Long Hồ District-4977.jpeg,0.9654434323310852,105.92220962059528N,10.21462630860432E,[]
202,Phu Ly City-2829.jpeg,0.9654358327388765,105.96605422970185N,20.55588934435344E,['353.jpeg']
203,Trà Vinh City-1326.jpeg,0.9654026702046394,106.34271004660732N,9.944573973564998E,[]
204,Phu Ly City-2705.jpeg,0.9653900042176248,105.89122729511318N,20.55454187759053E,[]
205,Chau Doc City-428.jpeg,0.9653752967715264,105.09876538175307N,10.632454071174338E,['477.jpeg']
206,Thái Bình-298.jpeg,0.965371198952198,106.33782623250777N,20.4217307740992E,[]
207,Go Cong Town-3505.jpeg,0.9653568863868712,106.66900239541475N,10.427728609527595E,[]
208,Mỹ Tho-1197.jpeg,0.965305507183075,106.41493719836943N,10.350269938431039E,[]
211,Phu Ly City-1778.jpeg,0.96523018181324,105.8984221926698N,20.538372276435606E,[]
212,Long Hồ District-3135.jpeg,0.9652168229222298,105.91125565836468N,10.183634573058265E,[]
