image,pred,lat,lon,found_Anditi
Cai Lậy Town-5648.jpeg,0.9735333472490312,10.466614044500997N,106.17038356261381E,[]
Cao Lanh City-2835.jpeg,0.9735153019428252,10.458095939899168N,105.61531659042207E,['512.jpeg']
Cao Lanh City-4964.jpeg,0.9734177142381668,10.50256234307397N,105.64957253710186E,[]
Sa Đéc City-2269.jpeg,0.9733999222517014,10.34621920892937N,105.73675350503285E,['521.jpeg']
Mỹ Hào District-1165.jpeg,0.9733906239271164,20.91771640921813N,106.08920254855506E,[]
Cao Lanh City-1075.jpeg,0.9733859598636628,10.427104204353101N,105.63724039629714E,[]
Long Hồ District-1058.jpeg,0.9733562394976616,10.158032704563702N,105.94822528089293E,[]
Long Xuyen City-1822.jpeg,0.9733288884162904,10.350228939580871N,105.44269687971922E,[]
Go Cong Town-2670.jpeg,0.9733178168535233,10.412906475136N,106.62242190438084E,[]
Cai Lậy Town-4899.jpeg,0.9732507318258286,10.45313937687227N,106.12380066850477E,[]
Cao Lanh City-3559.jpeg,0.973236821591854,10.474265541053642N,105.63312968269553E,[]
Go Cong Town-1250.jpeg,0.9732317253947258,10.375177405775567N,106.68544256872082E,[]
Go Cong Town-1227.jpeg,0.97321268171072,10.375177405775567N,106.65393223655084E,[]
Trà Vinh City-2451.jpeg,0.9731770157814026,9.978260642636783N,106.33450174726396E,[]
Cai Lậy Town-6174.jpeg,0.973175510764122,10.477393778603979N,106.1525724560427E,[]
Long Hồ District-5391.jpeg,0.9731613248586656,10.222711109181553N,105.94822528089293E,[]
Binh Minh Town-2447.jpeg,0.9731541946530342,10.04906840740723N,105.86658433324753E,[]
Long Xuyen City-4741.jpeg,0.973141573369503,10.414907344198749N,105.42351900778473E,[]
Cai Lậy Town-5277.jpeg,0.9731205776333808,10.459876710686634N,106.14846220068013E,[]
Long Hồ District-1310.jpeg,0.973102480173111,10.16072763808944N,106.00710282788233E,[]
Cai Lậy Town-5445.jpeg,0.9730998054146768,10.46257164421238N,106.18408441382235E,[]
Sa Đéc City-1998.jpeg,0.9730868488550186,10.33409200806352N,105.74223203920499E,[]
Trà Vinh City-977.jpeg,0.9730798155069352,9.925709438884796N,106.34271004660732E,[]
Go Cong Town-2207.jpeg,0.9730787053704262,10.40077927427014N,106.67722248206778E,"['851.jpeg', '54.jpeg']"
Cai Lậy Town-5377.jpeg,0.9730780646204948,10.461224177449507N,106.1881946691849E,[]
Thái Bình-707.jpeg,0.973065935075283,20.433857974965385N,106.33063558897192E,[]
Cao Lanh City-3892.jpeg,0.9729924872517586,10.481002874868004N,105.6482022992347E,[]
Cai Lậy Town-4211.jpeg,0.9729717969894408,10.441012176006414N,106.12654083874648E,[]
Duy Tiên District-3059.jpeg,0.972814217209816,20.640258178479957N,105.96625154971235E,[]
Go Cong Town-2498.jpeg,0.9727901667356492,10.408864074847378N,106.62379191882302E,[]
Long Hồ District-2807.jpeg,0.9727762266993524,10.17959217276965N,105.9153633942012E,[]
Trà Vinh City-512.jpeg,0.9727155342698096,9.909539837730343N,106.34271004660732E,[]
Trà Vinh City-1864.jpeg,0.9727119281888008,9.963438508245199N,106.3372378470451E,['736.jpeg']
Tây Ninh City-1393.jpeg,0.97265887260437,11.334000372812964N,106.09489062975544E,[]
Long Hồ District-3032.jpeg,0.9726575314998628,10.182287106295396N,105.92084037531647E,[]
Long Hồ District-3640.jpeg,0.9726562947034836,10.189024440109755N,106.0112105637188E,[]
Long Hồ District-1185.jpeg,0.9725662097334862,10.15938017132657N,105.98382565814235E,[]
Yên Mỹ District-3202.jpeg,0.9725545421242714,20.907088744464478N,106.03926103267437E,[]
Vĩnh Long-1517.jpeg,0.9725541025400162,10.257082205454365N,105.9185719530725E,[]
Phu Ly City-4222.jpeg,0.9725493714213372,20.59092348018912N,105.93583565996408E,[]
Go Cong Town-1301.jpeg,0.9725311994552612,10.37652487253844N,106.68681258316299E,[]
Sa Đéc City-2880.jpeg,0.972476601600647,10.373168544186822N,105.71346973480124E,[]
Go Cong Town-813.jpeg,0.9724398627877237,10.364397671672586N,106.65256222210868E,['845.jpeg']
Cai Lậy Town-5387.jpeg,0.9723691418766977,10.46257164421238N,106.10461947681281E,[]
Long Xuyen City-2490.jpeg,0.9723618179559708,10.365051073972468N,105.43310794375199E,[]
Sa Đéc City-530.jpeg,0.9723565578460692,10.2815408043115N,105.77647287778088E,['912.jpeg']
Tây Ninh City-2081.jpeg,0.9723468944430352,11.348822507204586N,106.09351621035809E,['609.jpeg']
Cao Lanh City-831.jpeg,0.9723221063613892,10.423061804064481N,105.65094277496904E,[]
Cai Lậy Town-2250.jpeg,0.9723007902503014,10.403283106645986N,106.12928100898819E,[]
Go Cong Town-3132.jpeg,0.9722909554839134,10.422338742476105N,106.61146178884346E,[]
