,image,pred,lon,lat
74,Thanh Liêm District-1150.jpeg,0.9724191,20.463920013099266N,105.95058652428204E
75,Long Hồ District-445.jpeg,0.9722617,10.16746497190378N,105.91536339420118E
76,Long Hồ District-1442.jpeg,0.9721692,10.229448442995853N,105.98382565814235E
77,Châu Thành District-407.jpeg,0.9721453,10.265091671356737N,106.26218609043302E
78,Vĩnh Long-29.jpeg,0.97210455,10.230132870196918N,105.90898663068909E
80,Vĩnh Long-52.jpeg,0.97201836,10.232827803722659N,105.90898663068909E
81,Thái Bình-343.jpeg,0.9718535,20.447332642594546N,106.32632120285044E
82,Long Hồ District-701.jpeg,0.9718402,10.178244706006748N,105.99751811093057E
83,Sa Đéc City-136.jpeg,0.9718354,10.281540804311488N,105.77647287778049E
84,Long Hồ District-196.jpeg,0.9718202,10.15399030427507N,105.97834867702704E
85,Cai Lậy Town-1397.jpeg,0.9718165,10.465266577738051N,106.1676433923721E
86,Go Cong Town-514.jpeg,0.9717693,10.398084340744358N,106.63749206324476E
87,Long Xuyen City-1338.jpeg,0.97173494,10.431076945353137N,105.45776520766776E
88,Châu Thành District-2600.jpeg,0.97169626,10.32977007597456N,106.35257262800287E
90,Long Xuyen City-226.jpeg,0.9715829,10.328669471374901N,105.48242247158353E
91,Trà Vinh City-349.jpeg,0.9715595,9.947268907090702N,106.33176564748287E
92,Châu Thành District-2194.jpeg,0.97145855,10.313600474820104N,106.22931825858942E
93,Cai Lậy Town-955.jpeg,0.97142357,10.432927375429129N,106.18956475430575E
94,Sa Đéc City-288.jpeg,0.9713514,10.303100272517428N,105.74360167274783E
95,Hoa Lư District-111.jpeg,0.97129625,20.197991774316336N,105.9449627742907E
96,Trà Vinh City-252.jpeg,0.9711747,9.925709438884772N,106.34271004660732E
97,Long Xuyen City-881.jpeg,0.9710296,10.385263075415502N,105.43036824776134E
98,Châu Thành District-1668.jpeg,0.9709943,10.297430873665649N,106.36078958596379E
99,Duy Tiên District-1085.jpeg,0.9709712,20.659122713160837N,105.8985807240108E
100,Châu Thành District-322.jpeg,0.9709327,10.262396737830992N,106.24849116049816E
101,Châu Thành District-318.jpeg,0.9708957,10.262396737830992N,106.23753521655031E
102,Phu Ly City-4.jpeg,0.97075313,20.488516006207927N,105.90417811071494E
103,Cai Lậy Town-1233.jpeg,0.9707328,10.454486843635076N,106.10461947681281E
105,Long Hồ District-969.jpeg,0.9706553,10.19171937363546N,106.00573358260351E
106,Long Hồ District-1431.jpeg,0.9705978,10.229448442995853N,105.94822528089294E
107,Long Xuyen City-513.jpeg,0.970485,10.355618806632327N,105.42214915978941E
109,Cai Lậy Town-1067.jpeg,0.970433,10.441012176006357N,106.17860407333892E
110,Cai Lậy Town-961.jpeg,0.9702977,10.435622308954873N,106.10735964705452E
111,Phu Ly City-1058.jpeg,0.9702305,20.590923480189254N,105.93583565996381E
113,Cai Lậy Town-1391.jpeg,0.9701055,10.465266577738051N,106.15120237092184E
114,Long Hồ District-131.jpeg,0.97003764,10.15129537074933N,105.90988641308587E
115,Cai Lậy Town-1501.jpeg,0.97002953,10.47335137831528N,106.1676433923721E
116,Long Xuyen City-430.jpeg,0.97001934,10.347534006055099N,105.44406672771456E
117,Hiệp Hòa District-1570.jpeg,0.9699458,21.34298614805265N,106.00642544439235E
118,Hoa Lư District-1205.jpeg,0.9699424,20.311178982400836N,105.93921782328722E
119,Sa Đéc City-666.jpeg,0.9698841,10.362388810083774N,105.72442680314542E
120,Cai Lậy Town-1494.jpeg,0.9698262,10.47335137831528N,106.14846220068013E
121,Long Hồ District-197.jpeg,0.96975076,10.15399030427507N,105.9810871675847E
122,Mỹ Tho-309.jpeg,0.9697037,10.350269938431016N,106.41493719836876E
