,Unnamed: 0.1,Unnamed: 0,district,index,longitude,latitude,geometry,sum
588,25894,32222,Tây Ninh City,1662,11812571.196016792,1281021.777577967,POINT (11812571.196016792 1281021.777577967),556
589,25738,32026,Tây Ninh City,1466,11815019.190696046,1278879.3601070694,POINT (11815019.190696046 1278879.3601070694),837
590,25304,31278,Tây Ninh City,718,11818385.183380025,1273064.943969938,POINT (11818385.183380025 1273064.943969938),242
591,24859,30750,Tây Ninh City,190,11815631.18936586,1268169.4034611955,POINT (11815631.18936586 1268169.4034611955),859
592,24875,30766,Tây Ninh City,206,11812571.196016792,1268475.3531108175,POINT (11812571.196016792 1268475.3531108175),288
593,25040,30949,Tây Ninh City,389,11813795.193356415,1270311.1115325682,POINT (11813795.193356415 1270311.1115325682),879
594,25113,31036,Tây Ninh City,476,11811959.197346978,1271229.0296846454,POINT (11811959.197346978 1271229.0296846454),768
595,8839,10716,Duy Tiên District,913,11795307.772098824,2349996.300613533,POINT (11795307.772098824 2349996.300613533),493
596,8802,10676,Duy Tiên District,873,11798192.782172352,2349675.7106977045,POINT (11798192.782172352 2349675.7106977045),755
597,20187,24715,Phu Ly City,1014,11794645.520024624,2342205.5013620323,POINT (11794645.520024624 2342205.5013620323),295
598,17761,22024,Mỹ Hào District,922,11808029.505105171,2387530.494285806,POINT (11808029.505105171 2387530.494285806),200
599,26998,33507,Yên Mỹ District,613,11804878.7761747,2379197.714655496,POINT (11804878.7761747 2379197.714655496),759
600,26912,33400,Yên Mỹ District,506,11798135.319989368,2378555.4987710207,POINT (11798135.319989368 2378555.4987710207),367
601,26912,33400,Yên Mỹ District,506,11798135.319989368,2378555.4987710207,POINT (11798135.319989368 2378555.4987710207),367
602,27220,33801,Yên Mỹ District,907,11800383.138717812,2381766.808891829,POINT (11800383.138717812 2381766.808891829),197
603,26580,33013,Yên Mỹ District,119,11803915.42529108,2375023.72332074,POINT (11803915.42529108 2375023.72332074),739
604,19668,24120,Phu Ly City,419,11789199.180164937,2336758.585134751,POINT (11789199.180164937 2336758.585134751),750
605,19908,24392,Phu Ly City,691,11788878.807232017,2339001.2351680147,POINT (11788878.807232017 2339001.2351680147),180
606,19669,24121,Phu Ly City,420,11789519.55309786,2336758.585134751,POINT (11789519.55309786 2336758.585134751),831
607,19712,24168,Phu Ly City,467,11790801.044829551,2337078.9467690308,POINT (11790801.044829551 2337078.9467690308),779
608,19748,24210,Phu Ly City,509,11790480.671896627,2337399.3140490977,POINT (11790480.671896627 2337399.3140490977),813
609,19712,24168,Phu Ly City,467,11790801.044829551,2337078.9467690308,POINT (11790801.044829551 2337078.9467690308),779
610,19785,24249,Phu Ly City,548,11790480.671896627,2337719.68697586,POINT (11790480.671896627 2337719.68697586),773
611,19749,24211,Phu Ly City,510,11790801.044829551,2337399.3140490977,POINT (11790801.044829551 2337399.3140490977),803
612,19673,24125,Phu Ly City,424,11790801.044829551,2336758.585134751,POINT (11790801.044829551 2336758.585134751),806
613,19527,23956,Phu Ly City,255,11791441.790695395,2335477.195037352,POINT (11791441.790695395 2335477.195037352),787
614,19750,24212,Phu Ly City,511,11791121.417762471,2337399.3140490977,POINT (11791121.417762471 2337399.3140490977),800
615,19456,23876,Phu Ly City,175,11790801.044829551,2334836.533839778,POINT (11790801.044829551 2334836.533839778),692
616,19490,23915,Phu Ly City,214,11791121.417762471,2335156.861618394,POINT (11791121.417762471 2335156.861618394),714
617,19889,24366,Phu Ly City,665,11792082.53656124,2338680.839645394,POINT (11792082.53656124 2338680.839645394),162
618,19677,24129,Phu Ly City,428,11792082.53656124,2336758.585134751,POINT (11792082.53656124 2336758.585134751),736
619,19890,24367,Phu Ly City,666,11792402.909494163,2338680.839645394,POINT (11792402.909494163 2338680.839645394),458
620,19571,24003,Phu Ly City,302,11793043.65536001,2335797.534097559,POINT (11793043.65536001 2335797.534097559),679
621,19712,24168,Phu Ly City,467,11790801.044829551,2337078.9467690308,POINT (11790801.044829551 2337078.9467690308),779
