,district,index,longitude,latitude,geometry,sum
510,Hiep Binh Phuoc Ward,174,11878465.015792217,1214819.7714228574,POINT (11878465.015792217 1214819.7714228574),9
511,Hiep Binh Phuoc Ward,176,11878770.478539996,1214819.7714228574,POINT (11878770.478539996 1214819.7714228574),25
512,Hiep Binh Phuoc Ward,177,11878923.209913887,1214819.7714228574,POINT (11878923.209913887 1214819.7714228574),161
513,Hiep Binh Phuoc Ward,178,11879075.941287776,1214819.7714228574,POINT (11879075.941287776 1214819.7714228574),288
514,Hiep Binh Phuoc Ward,179,11879228.672661666,1214819.7714228574,POINT (11879228.672661666 1214819.7714228574),338
515,Hiep Binh Phuoc Ward,180,11879381.404035557,1214819.7714228574,POINT (11879381.404035557 1214819.7714228574),597
516,Hiep Binh Phuoc Ward,181,11879534.135409446,1214819.7714228574,POINT (11879534.135409446 1214819.7714228574),857
517,Hiep Binh Phuoc Ward,182,11879686.866783336,1214819.7714228574,POINT (11879686.866783336 1214819.7714228574),866
518,Hiep Binh Phuoc Ward,183,11879839.598157227,1214819.7714228574,POINT (11879839.598157227 1214819.7714228574),908
519,Hiep Binh Phuoc Ward,184,11879992.329531116,1214819.7714228574,POINT (11879992.329531116 1214819.7714228574),976
520,Hiep Binh Phuoc Ward,185,11880145.060905008,1214819.7714228574,POINT (11880145.060905008 1214819.7714228574),932
521,Hiep Binh Phuoc Ward,186,11880297.792278897,1214819.7714228574,POINT (11880297.792278897 1214819.7714228574),881
522,Hiep Binh Phuoc Ward,187,11880450.523652788,1214819.7714228574,POINT (11880450.523652788 1214819.7714228574),845
523,Hiep Binh Phuoc Ward,188,11880603.255026678,1214819.7714228574,POINT (11880603.255026678 1214819.7714228574),793
524,Hiep Binh Phuoc Ward,189,11880755.986400567,1214819.7714228574,POINT (11880755.986400567 1214819.7714228574),831
525,Hiep Binh Phuoc Ward,193,11878159.553044435,1214972.5001078234,POINT (11878159.553044435 1214972.5001078234),36
526,Hiep Binh Phuoc Ward,194,11878312.284418326,1214972.5001078234,POINT (11878312.284418326 1214972.5001078234),45
527,Hiep Binh Phuoc Ward,195,11878465.015792217,1214972.5001078234,POINT (11878465.015792217 1214972.5001078234),9
528,Hiep Binh Phuoc Ward,196,11878617.747166106,1214972.5001078234,POINT (11878617.747166106 1214972.5001078234),10
529,Hiep Binh Phuoc Ward,197,11878770.478539996,1214972.5001078234,POINT (11878770.478539996 1214972.5001078234),105
530,Hiep Binh Phuoc Ward,198,11878923.209913887,1214972.5001078234,POINT (11878923.209913887 1214972.5001078234),162
531,Hiep Binh Phuoc Ward,199,11879075.941287776,1214972.5001078234,POINT (11879075.941287776 1214972.5001078234),155
532,Hiep Binh Phuoc Ward,200,11879228.672661666,1214972.5001078234,POINT (11879228.672661666 1214972.5001078234),280
533,Hiep Binh Phuoc Ward,201,11879381.404035557,1214972.5001078234,POINT (11879381.404035557 1214972.5001078234),565
534,Hiep Binh Phuoc Ward,202,11879534.135409446,1214972.5001078234,POINT (11879534.135409446 1214972.5001078234),821
535,Hiep Binh Phuoc Ward,203,11879686.866783336,1214972.5001078234,POINT (11879686.866783336 1214972.5001078234),860
536,Hiep Binh Phuoc Ward,204,11879839.598157227,1214972.5001078234,POINT (11879839.598157227 1214972.5001078234),860
537,Hiep Binh Phuoc Ward,205,11879992.329531116,1214972.5001078234,POINT (11879992.329531116 1214972.5001078234),883
538,Hiep Binh Phuoc Ward,206,11880145.060905008,1214972.5001078234,POINT (11880145.060905008 1214972.5001078234),884
539,Hiep Binh Phuoc Ward,207,11880297.792278897,1214972.5001078234,POINT (11880297.792278897 1214972.5001078234),881
540,Hiep Binh Phuoc Ward,208,11880450.523652788,1214972.5001078234,POINT (11880450.523652788 1214972.5001078234),859
541,Hiep Binh Phuoc Ward,209,11880603.255026678,1214972.5001078234,POINT (11880603.255026678 1214972.5001078234),803
542,Hiep Binh Phuoc Ward,210,11880755.986400567,1214972.5001078234,POINT (11880755.986400567 1214972.5001078234),827
543,Hiep Binh Phuoc Ward,211,11877701.358922765,1215125.2294811448,POINT (11877701.358922765 1215125.2294811448),55
544,Hiep Binh Phuoc Ward,212,11877854.090296656,1215125.2294811448,POINT (11877854.090296656 1215125.2294811448),4
545,Hiep Binh Phuoc Ward,217,11878617.747166106,1215125.2294811448,POINT (11878617.747166106 1215125.2294811448),15
546,Hiep Binh Phuoc Ward,218,11878770.478539996,1215125.2294811448,POINT (11878770.478539996 1215125.2294811448),140
547,Hiep Binh Phuoc Ward,219,11878923.209913887,1215125.2294811448,POINT (11878923.209913887 1215125.2294811448),163
548,Hiep Binh Phuoc Ward,220,11879075.941287776,1215125.2294811448,POINT (11879075.941287776 1215125.2294811448),60
549,Hiep Binh Phuoc Ward,221,11879228.672661666,1215125.2294811448,POINT (11879228.672661666 1215125.2294811448),36
550,Hiep Binh Phuoc Ward,222,11879381.404035557,1215125.2294811448,POINT (11879381.404035557 1215125.2294811448),292
551,Hiep Binh Phuoc Ward,223,11879534.135409446,1215125.2294811448,POINT (11879534.135409446 1215125.2294811448),710
552,Hiep Binh Phuoc Ward,224,11879686.866783336,1215125.2294811448,POINT (11879686.866783336 1215125.2294811448),837
