Unnamed: 0,image,pred,lat,lon,found_Anditi
7506,Sa Đéc City-2331.jpeg,0.8892050981521606,10.348914142455113N,105.73264460440373E,[]
7507,Binh Minh Town-4185.jpeg,0.8892002105712891,10.094882277344865N,105.84058377109939E,[]
7514,Long Xuyen City-1241.jpeg,0.8891229182481766,10.336754271952149N,105.47146368762097E,[]
7516,Ninh Bình-168.jpeg,0.8890868201851845,20.213230673458717N,106.00317677747847E,[]
7517,Tây Ninh City-220.jpeg,0.8890759274363518,11.304356104029715N,106.09763946855021E,['605.jpeg']
7523,Go Cong Town-2427.jpeg,0.8889545202255249,10.406169141321634N,106.67859249650996E,[]
7530,Hiệp Hòa District-5172.jpeg,0.8889020457863808,21.329511480423346N,105.95868914479524E,['150.jpeg']
7532,Vĩnh Long-1529.jpeg,0.888836644589901,10.257082205454365N,105.93500393430152E,[]
7533,Yên Mỹ District-1330.jpeg,0.888836033642292,20.876097008917483N,106.04791496090166E,[]
7535,Bến Tre City-1976.jpeg,0.8888115137815475,10.243500006600332N,106.3529542889228E,[]
7536,Duy Tiên District-3417.jpeg,0.8887591660022736,20.645648045531594N,105.91441857683458E,[]
7539,Vĩnh Long-550.jpeg,0.8886786326766014,10.2409126042999N,105.90487863538168E,[]
7540,Châu Thành District-10064.jpeg,0.8886783644556999,10.324380208923131N,106.35668110698441E,[]
7541,Bến Tre City-2515.jpeg,0.8886652886867523,10.251584807177563N,106.41594047701699E,[]
7543,Châu Thành District-3026.jpeg,0.8886125981807709,10.274523938696857N,106.4429591655743E,[]
7556,Yên Mỹ District-4471.jpeg,0.888431005179882,20.94481781382603N,106.03060710444711E,[]
7564,Cai Lậy Town-3557.jpeg,0.8882288411259651,10.428884975140564N,106.14435194531758E,[]
7566,Cai Lậy Town-3969.jpeg,0.8881664052605629,10.436969775717799N,106.12380066850477E,[]
7570,Hiệp Hòa District-4341.jpeg,0.8881153166294098,21.31738427955711N,105.97315469012771E,[]
7572,Yên Mỹ District-3971.jpeg,0.8880553618073463,20.921910878856515N,106.0608958532426E,[]
7588,Vĩnh Long-853.jpeg,0.8878024965524673,10.246302471351386N,105.91309462599618E,[]
7593,Long Xuyen City-4545.jpeg,0.8877436444163322,10.409517477147261N,105.44406672771456E,[]
7594,Chau Doc City-562.jpeg,0.8877285495400429,10.636496471462953N,105.10562166191242E,[]
7601,Ninh Bình-1833.jpeg,0.8875621780753136,20.263086943686346N,105.93998432825107E,[]
7602,Cai Lậy Town-3768.jpeg,0.8875440508127213,10.432927375429179N,106.14983228580098E,[]
7606,Mỹ Hào District-2005.jpeg,0.8875223621726036,20.935233477136N,106.05457981942202E,[]
7610,Thái Bình-366.jpeg,0.8874895349144936,20.424425707625012N,106.35220751957938E,[]
7612,Tây Ninh City-5102.jpeg,0.8874692469835281,11.398678777430964N,106.1127580819214E,[]
7613,Thanh Liêm District-5039.jpeg,0.8874455764889717,20.470657346913683N,105.9606529223976E,[]
7615,Hung Yen City-3020.jpeg,0.887437529861927,20.69337587907165N,106.07488417374337E,[]
7619,Go Cong Town-927.jpeg,0.8873525112867355,10.367092605198332N,106.66215232320387E,[]
7622,Sa Đéc City-2786.jpeg,0.8872903734445572,10.36777867713533N,105.7312749708607E,[]
7628,Sa Đéc City-1417.jpeg,0.887201339006424,10.312532539857562N,105.72990533731766E,[]
7629,Go Cong Town-1579.jpeg,0.8871968016028404,10.384609673115675N,106.65393223655084E,[]
7632,Cao Lanh City-1011.jpeg,0.8871412500739098,10.42575673759023N,105.66464515364098E,[]
7633,Trà Vinh City-1186.jpeg,0.887136735022068,9.936489172987768N,106.35228639584123E,['743.jpeg']
7634,Duy Tiên District-3390.jpeg,0.8871082440018654,20.644300578768686N,106.01664471778795E,[]
7637,Thanh Liêm District-3874.jpeg,0.8869943916797638,20.45448774575876N,105.90744481807246E,[]
7638,Trà Vinh City-283.jpeg,0.8869870826601982,9.901455037153116N,106.34818224616954E,[]
7640,Cai Lậy Town-2005.jpeg,0.8869650289416313,10.39924070635737N,106.09502888096684E,[]
7641,Sa Đéc City-2774.jpeg,0.8869250416755676,10.36777867713533N,105.71483936834429E,[]
7647,Mỹ Hào District-3071.jpeg,0.8868398144841194,20.95140307829095N,106.11949743654648E,[]
7648,Cai Lậy Town-1959.jpeg,0.8868212923407555,10.397893239594495N,106.13887160483415E,[]
7654,Hiệp Hòa District-29.jpeg,0.8867825120687485,21.22710400644183N,105.96881502652796E,[]
7658,Cao Lanh City-4594.jpeg,0.8866899758577347,10.495825009259605N,105.58380111947665E,[]
7660,Châu Thành District-10686.jpeg,0.8866843283176422,10.337854876551855N,106.36900654392583E,[]
7661,Thanh Liêm District-745.jpeg,0.8866700977087021,20.40058907524236N,105.94195818304013E,[]
7662,Cai Lậy Town-2963.jpeg,0.8866633549332619,10.416757774274714N,106.16627330725123E,[]
7664,Mỹ Tho-2364.jpeg,0.8866435661911964,10.37048193987412N,106.37658258810765E,[]
